Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
312,Brandon LaFell,OAK,WR,32,6,5,0,0,0,0,0,0,0,0.0,0,16,12,135,11.25,2,0,0,2,0.0,0.0,26.0,37.5,40.5,31.5,0.0,126,0.0,2018,Waiver
314,Justin Hardy,ATL,WR,27,16,0,0,0,0,0,0,0,0,0.0,0,22,14,133,9.5,2,1,0,2,0.0,0.0,25.0,39.3,42.3,32.3,0.0,127,0.0,2018,Waiver
316,Cody Latimer,NYG,WR,26,6,2,0,0,0,0,0,0,0,0.0,0,16,11,190,17.27,1,0,0,1,0.0,0.0,25.0,36.0,39.0,30.5,0.0,128,0.0,2018,Waiver
319,Cody Core,CIN,WR,24,14,3,0,0,0,0,0,0,0,0.0,0,28,13,160,12.31,1,0,0,1,1.0,0.0,24.0,37.0,40.0,30.5,0.0,130,0.0,2018,Waiver
321,Chad Williams,ARI,WR,24,10,7,0,0,0,0,0,1,9,9.0,0,46,17,171,10.06,1,0,0,1,0.0,0.0,24.0,41.0,44.0,32.5,0.0,129,0.0,2018,Waiver
323,Richie James,SFO,WR,23,13,2,0,0,0,0,0,0,0,0.0,0,14,9,130,14.44,1,2,1,2,0.0,0.0,23.0,32.0,36.0,27.5,0.0,131,0.0,2018,Waiver
325,Austin Carr,NOR,WR,25,14,2,0,0,0,0,0,0,0,0.0,0,14,9,97,10.78,2,0,0,2,0.0,0.0,22.0,30.7,30.7,26.2,0.0,132,0.0,2018,Waiver
327,Dan Arnold,NOR,WR,23,10,1,0,0,0,0,0,0,0,0.0,0,19,12,150,12.5,1,1,0,1,0.0,0.0,21.0,33.0,36.0,27.0,0.0,134,0.0,2018,Waiver
328,Marcell Ateman,OAK,WR,24,7,6,0,0,0,0,0,0,0,0.0,0,31,15,154,10.27,1,0,0,1,0.0,0.0,21.0,36.4,39.4,28.9,0.0,133,0.0,2018,Waiver
331,Marvin Hall,ATL,WR,25,16,0,0,0,0,0,0,2,0,0.0,0,19,10,149,14.9,1,0,0,1,0.0,0.0,21.0,30.9,33.9,25.9,0.0,135,0.0,2018,Waiver
335,Josh Bellamy,CHI,WR,29,16,2,0,0,0,0,0,0,0,0.0,0,25,14,117,8.36,1,0,0,1,1.0,0.0,20.0,33.7,36.7,26.7,0.0,137,0.0,2018,Waiver
336,DeAndre Carter,2TM,WR,25,14,4,0,0,0,0,0,1,7,7.0,0,25,22,216,9.82,0,5,1,0,0.0,0.0,20.0,42.3,46.3,31.3,0.0,136,0.0,2018,Waiver
337,Brandon Marshall,SEA,WR,34,7,2,0,0,0,0,0,0,0,0.0,0,23,11,136,12.36,1,0,0,1,0.0,0.0,20.0,30.6,33.6,25.1,0.0,138,0.0,2018,Waiver
338,Michael Floyd,WAS,WR,29,13,3,0,0,0,0,0,0,0,0.0,0,24,10,100,10.0,1,0,0,1,1.0,0.0,18.0,28.0,31.0,23.0,0.0,139,0.0,2018,Waiver
343,Leonte Carroo,MIA,WR,24,9,0,0,0,0,0,0,1,14,14.0,0,4,2,94,47.0,1,0,0,1,0.0,0.0,17.0,18.8,18.8,17.8,0.0,142,0.0,2018,Waiver
344,Alex Erickson,CIN,WR,26,16,6,0,0,0,0,0,3,22,7.33,0,29,20,167,8.35,0,1,1,0,0.0,0.0,17.0,36.9,40.9,26.9,0.0,141,0.0,2018,Waiver
