Player,Team,Pos,Fantasy Points Pts,Fantasy Points x-Pts,Fantasy Points +/-,Points Per Game PPG,Points Per Game x-PPG,Points Per Game +/-,#G,Receiving Rec,Receiving X-Rec,Receiving Yds,Receiving X-Yds,Receiving TD,Receiving X-TD,Rushing Yds,Rushing X-Yds,Rushing TD,Rushing X-TD
Melvin Gordon III,DEN,RB,190.4,178.8,11.6,12.7,11.9,0.8,15,32,35.64,158,240.76,1,1.1616,986,934.902,9,6.08
Lamar Miller,WAS,RB,1.6,2.3,-0.7,1.6,2.3,-0.7,1,2,1.75,6,14.6,0,0,0,0,0,0
Patrick Laird,MIA,RB,19,21,-2,1.5,1.6,-0.2,13,10,10.12,68,83.83,0,0.192,72,58.114,0,0.1
Miles Sanders,PHI,RB,156.4,161.5,-5.1,13,13.5,-0.4,12,28,41.32,197,319.89,0,0.7008,867,697.6334,6,5.82
Latavius Murray,NO,RB,124.7,115.9,8.8,8.3,7.7,0.6,15,23,22.53,176,147.81,1,0.9024,656,626.4552,4,3.63
LeVante Bellamy,DEN,RB,2.1,3.1,-1,0.7,1,-0.3,3,1,0.87,5,7.64,0,0,11,18.6396,0,0
Kerryon Johnson,DET,RB,64.3,63.1,1.2,4,3.9,0.1,16,19,21.05,187,154,1,0.5952,181,216.453,2,2
Michael Burton,NO,RB,6.6,10.1,-3.5,0.4,0.7,-0.2,15,4,3.28,28,25.58,0,0.4512,18,26.7932,0,0.08
Ryan Nall,CHI,RB,16.7,13.9,2.8,1.1,0.9,0.2,15,8,7.51,67,53.54,1,0.5472,0,13.5044,0,0.02
Benny Snell Jr.,PIT,RB,71.9,105.2,-33.3,4.8,7,-2.2,15,10,11.5,61,63.47,0,0.9696,368,441.347,4,7.19
Duke Johnson Jr.,HST,RB,74.4,87.3,-12.9,6.8,7.9,-1.2,11,28,27.78,249,207.34,1,1.7952,235,340.3544,1,1.31
J.J. Taylor,NE,RB,11.9,15.3,-3.4,2,2.6,-0.6,6,1,1.83,4,9.53,0,0.1728,110,100.9302,0,0.39
Frank Gore,NYJ,RB,94.2,128.5,-34.3,6.3,8.6,-2.3,15,16,14.99,89,129.72,0,0.4896,653,811.1668,2,4
Cullen Gillaspia,HST,RB,1.1,0.9,0.2,0.3,0.2,0.1,4,1,0.87,6,4.89,0,0,0,0,0,0
Ronald Jones,TB,RB,176.3,173.1,3.2,12.6,12.4,0.2,14,28,34.78,165,251.27,1,1.0176,978,816.0578,7,7.14
Zack Moss,BUF,RB,94.6,105.7,-11.1,7.3,8.1,-0.9,13,14,13.97,95,108.5,1,1.4208,481,455.3872,4,5.64
DeeJay Dallas,SEA,RB,48.4,57.3,-8.9,6,7.2,-1.1,8,17,17.25,111,121.44,1,0.96,108,126.2742,2,3.02
Patrick Ricard,BLT,RB,14.9,22,-7.1,1,1.5,-0.5,15,9,10.2,45,67.98,1,1.4496,-1,1.6758,0,0.21
Tony Brooks-James,ATL,RB,0.4,1.5,-1.1,0.4,1.5,-1.1,1,0,0,0,0,0,0,4,13.6122,0,0.03
David Johnson,HST,RB,165,166.6,-1.6,13.8,13.9,-0.1,12,33,34.62,314,279.37,2,3.6192,691,625.7814,6,6.18
Cordarrelle Patterson,CHI,RB,52.9,65.7,-12.8,3.5,4.4,-0.9,15,21,19.88,132,166.39,0,0.384,232,271.7932,1,1.6
Joe Mixon,CIN,RB,91.1,98.7,-7.6,15.2,16.4,-1.3,6,21,20.11,138,125.97,1,0.7584,428,503.731,3,3.52
Elijhaa Penny,NYG,RB,4.5,9.1,-4.6,0.3,0.7,-0.3,14,2,2.5,20,18.96,0,0.1344,15,23.6964,0,0.47
Kareem Hunt,CLV,RB,199.5,191.9,7.6,12.5,12,0.5,16,38,39.74,304,280.16,5,2.8224,841,826.2298,6,7.41
Tony Jones Jr.,NO,RB,1.3,1.4,-0.1,1.3,1.4,-0.1,1,0,0,0,0,0,0,13,12.936,0,0.01
Scottie Phillips,HST,RB,2.1,2.7,-0.6,0.7,0.9,-0.2,3,1,0.73,7,4.29,0,0.1632,9,9.7118,0,0
Josh Adams,NYJ,RB,33.6,30,3.6,4.8,4.3,0.5,7,6,5.84,29,39.28,0,0.0096,157,117.4048,2,1.9
C.J. Prosise,HST,RB,12.2,17.1,-4.9,2,2.9,-0.8,6,5,4.4,18,21.12,1,0.72,19,40.4156,0,0.74
Alexander Mattison,MIN,RB,80.4,83.2,-2.8,6.2,6.4,-0.2,13,13,12.6,125,111.88,1,0.0192,434,388.4626,2,4.46
D.J. Foster,ARZ,RB,1.4,2.2,-0.8,0.3,0.6,-0.2,4,1,0.83,7,8.76,0,0,2,8.7416,0,0.01
T.J. Yeldon,BUF,RB,15.7,9.4,6.3,5.2,3.1,2.1,3,1,0.91,22,9.26,1,0.24,70,43.5414,0,0.37
Marlon Mack,IND,RB,7.1,5.4,1.7,7.1,5.4,1.7,1,3,2.62,30,21.95,0,0.0096,26,16.5326,0,0.03
Kenyan Drake,ARZ,RB,181.7,207.1,-25.4,12.1,13.8,-1.7,15,25,25.41,137,180.16,0,0.2976,955,965.168,10,13.02
Carlos Hyde,SEA,RB,76.9,74,2.9,7.7,7.4,0.3,10,16,16.24,93,118.06,0,0.336,356,342.1086,4,2.97
Qadree Ollison,ATL,RB,0.3,0.4,-0.1,0.1,0.2,-0.1,2,0,0,0,0,0,0,3,3.7338,0,0.01
Troymaine Pope,LAC,RB,15.8,19.8,-4,3.2,4,-0.8,5,8,8.77,42,53.23,0,0.48,76,67.7278,0,0.08
Keith Smith,ATL,RB,12.1,16.8,-4.7,0.8,1.1,-0.3,16,11,10.92,59,83.91,0,0.1632,7,13.4554,0,0.11
La'Mical Perine,NYJ,RB,47,50.2,-3.2,5.2,5.6,-0.4,9,11,11.77,63,87.25,0,0.3168,232,279.6234,2,0.95
