Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season,Value
396,Devonta Freeman,ATL,RB,26,2,2,0,0,0,0,0,14,68,4.86,0,7,5,23,4.6,0,0,0,0,0.0,0.0,9.0,14.1,14.1,11.6,0.0,106,0.0,2018,Waiver
397,C.J. Ham,MIN,RB,25,15,2,0,0,0,0,0,6,8,1.33,0,15,11,85,7.73,0,0,0,0,0.0,0.0,9.0,20.3,20.3,14.8,0.0,105,0.0,2018,Waiver
398,Dontrell Hilliard,CLE,RB,23,11,0,0,1,0,0,1,0,0,0.0,0,10,9,105,11.67,0,0,0,0,0.0,0.0,9.0,17.5,21.5,14.0,0.0,108,0.0,2018,Waiver
405,Elijhaa Penny,NYG,RB,25,14,3,0,0,0,0,0,7,25,3.57,0,9,8,50,6.25,0,0,0,0,0.0,0.0,8.0,15.5,15.5,11.5,0.0,109,0.0,2018,Waiver
407,Mark Walton,CIN,RB,21,14,0,0,0,0,0,0,14,34,2.43,0,8,5,41,8.2,0,0,0,0,0.0,0.0,8.0,12.5,12.5,10.0,0.0,110,0.0,2018,Waiver
409,Kenjon Barner,2TM,RB,29,9,0,0,0,0,0,0,19,71,3.74,0,1,1,3,3.0,0,1,0,0,0.0,0.0,7.0,8.4,8.4,7.9,0.0,111,0.0,2018,Waiver
412,Patrick DiMarco,BUF,RB,29,16,5,0,0,0,0,0,1,9,9.0,0,4,3,62,20.67,0,0,0,0,0.0,0.0,7.0,10.1,10.1,8.6,0.0,112,0.0,2018,Waiver
415,Detrez Newsome,LAC,RB,24,9,0,0,0,0,0,0,11,49,4.45,0,2,2,19,9.5,0,0,0,0,0.0,0.0,7.0,8.8,8.8,7.8,0.0,113,0.0,2018,Waiver
420,Ryan Hewitt,IND,RB,27,12,2,0,0,0,0,0,0,0,0.0,0,2,1,1,1.0,1,0,0,1,0.0,0.0,6.0,7.1,7.1,6.6,0.0,114,0.0,2018,Waiver
425,Mike Boone,MIN,RB,23,8,0,0,0,0,0,0,11,47,4.27,0,3,2,1,0.5,0,0,0,0,0.0,0.0,5.0,6.8,6.8,5.8,0.0,116,0.0,2018,Waiver
435,Roc Thomas,MIN,RB,23,5,0,0,0,0,0,0,8,30,3.75,0,4,2,21,10.5,0,0,0,0,0.0,0.0,5.0,7.1,7.1,6.1,0.0,115,0.0,2018,Waiver
439,Tommy Bohanon,JAX,RB,28,16,6,0,0,0,0,0,1,0,0.0,0,9,6,41,6.83,0,0,0,0,0.0,0.0,4.0,10.1,10.1,7.1,0.0,118,0.0,2018,Waiver
442,Tyler Ervin,HOU,RB,25,9,0,0,0,0,0,0,0,0,0.0,0,3,3,35,11.67,0,1,0,0,0.0,0.0,4.0,6.5,6.5,5.0,0.0,124,0.0,2018,Waiver
446,T.J. Logan,ARI,RB,24,10,0,0,0,0,0,0,2,2,1.0,0,7,7,37,5.29,0,0,0,0,0.0,0.0,4.0,10.9,10.9,7.4,0.0,119,0.0,2018,Waiver
447,Tre Madden,SEA,RB,25,14,3,0,0,0,0,0,3,3,1.0,0,3,2,35,17.5,0,0,0,0,0.0,0.0,4.0,5.8,5.8,4.8,0.0,121,0.0,2018,Waiver
448,Byron Marshall,WAS,RB,24,6,0,0,0,0,0,0,3,9,3.0,0,6,4,30,7.5,0,0,0,0,0.0,0.0,4.0,7.9,7.9,5.9,0.0,120,0.0,2018,Waiver
450,Roosevelt Nix,PIT,RB,26,16,0,0,0,0,0,0,1,4,4.0,0,6,4,38,9.5,0,0,0,0,0.0,0.0,4.0,8.2,8.2,6.2,0.0,117,0.0,2018,Waiver
451,Samaje Perine,WAS,RB,23,5,0,0,0,0,0,0,8,32,4.0,0,4,3,5,1.67,0,0,0,0,0.0,0.0,4.0,6.7,6.7,5.2,0.0,122,0.0,2018,Waiver
455,David Williams,JAX,RB,24,6,0,0,0,0,0,0,8,36,4.5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,4.0,3.6,3.6,3.6,0.0,123,0.0,2018,Waiver
457,Benny Cunningham,CHI,RB,28,15,0,0,0,0,0,0,11,20,1.82,0,2,1,9,9.0,0,0,0,0,0.0,0.0,3.0,3.9,3.9,3.4,0.0,128,0.0,2018,Waiver
458,Mike Gillislee,NOR,RB,28,4,0,0,0,0,0,0,16,43,2.69,0,1,1,9,9.0,0,1,1,0,0.0,0.0,3.0,4.2,5.2,3.7,0.0,126,0.0,2018,Waiver
